100	42	300	30	2																																															
20	10	4	240	6																																															
40	65																																																		
0	47.82	38.55	5000	0	0																																														
1	54.79	40.7	24.91	100	0.5	1	1	1	1	3.68	3.68	1.11	4.01	3.34	0.74	1.67	2.67	0.67	3.34	4.35	0.67	2.67	1.67	0.59	2.34	4.01	0.74	2.67	3.34	0.59	3.34	4.01	0.52	2.34	3.34	0.82	3.01	1.67	0.89	3.01	3.34	0.74	4.01	5.01	0.89	2.34	2.67	0.74	5.01	3.34	0.82
2	45.9	41.11	59.15	100	0.5	0	0	1	5	2.64	5.28	1.41	5.28	3.7	0.82	6.87	5.28	1.17	2.64	6.34	1.53	3.7	6.34	0.82	4.76	3.7	0.94	5.81	3.7	1.29	3.7	6.87	1.29	7.93	5.81	0.94	5.81	5.28	1.29	7.93	4.23	1.17	7.93	6.34	1.06	5.28	5.28	1.06	4.76	5.28	0.94
3	50.35	38.62	25.12	100	0.5	1	1	0	1	1.35	1.35	0.39	1.08	1.62	0.36	1.22	0.95	0.39	1.35	1.35	0.15	1.08	2.03	0.3	0.95	0.68	0.24	1.22	1.35	0.39	1.35	0.95	0.3	1.62	1.22	0.27	1.08	1.35	0.39	1.35	1.35	0.45	1.35	1.62	0.45	2.03	1.62	0.24	2.03	1.49	0.45
4	48.05	40.66	12.67	100	0.5	1	1	1	1	1.29	1.61	0.46	1.29	0.8	0.36	2.09	1.61	0.36	2.41	2.41	0.25	1.29	0.8	0.36	1.13	1.61	0.36	1.77	1.29	0.36	1.93	1.29	0.29	2.41	1.77	0.18	1.45	1.61	0.32	1.77	2.41	0.36	1.29	1.13	0.29	1.45	1.45	0.36	1.29	1.29	0.32
5	46.5	46.9	36.76	100	0.5	1	1	1	1	7.25	9.06	0.67	6.04	4.83	1.34	6.65	9.06	1.21	4.23	6.04	1.48	6.04	4.23	2.01	4.23	4.23	0.67	6.04	6.04	1.34	9.06	9.06	1.07	7.25	6.04	0.94	3.02	6.65	1.61	6.04	9.06	1.21	7.86	3.02	1.48	9.06	6.04	2.01	9.06	6.65	1.61
6	42.86	27.62	18.21	100	0.5	0	0	1	5	5.11	3.41	0.91	3.75	3.41	0.61	5.11	4.09	0.98	3.07	3.07	0.61	4.09	1.7	0.91	3.75	4.43	0.98	4.43	2.39	0.83	1.7	1.7	0.98	4.43	2.73	0.91	3.07	4.09	0.76	3.07	4.09	0.83	3.41	3.41	0.98	3.41	3.75	0.68	2.39	3.41	0.76
7	35.41	32.36	60.88	100	0.5	1	1	0	1	3.54	3.54	0.79	2.83	3.18	0.63	5.3	1.77	1.18	4.6	1.77	0.94	2.48	5.3	0.86	1.77	5.3	0.63	4.6	2.48	0.39	3.54	3.18	0.55	4.6	2.83	0.39	5.3	5.3	0.86	2.48	3.18	0.79	3.89	3.89	0.63	4.6	2.48	0.39	3.18	4.6	0.55
8	51.91	40.92	41.85	100	0.5	1	1	0	1	2.12	0.96	0.34	2.89	2.51	0.43	2.12	2.12	0.39	2.89	1.93	0.43	1.35	1.93	0.21	2.31	1.54	0.3	1.74	2.12	0.51	2.12	2.31	0.43	2.89	1.74	0.39	2.51	1.74	0.47	2.51	1.35	0.43	0.96	2.12	0.56	1.54	1.74	0.39	1.93	1.35	0.21
9	49.71	40.72	40.26	100	0.5	0	0	1	1	2.12	2.72	0.67	3.93	1.51	0.47	2.72	3.32	0.87	3.32	2.72	0.54	2.72	3.02	0.74	3.63	3.63	0.67	2.42	3.02	0.81	1.51	2.12	0.81	4.53	3.02	0.54	3.02	2.42	0.87	3.32	3.63	0.81	3.02	1.51	0.81	3.63	3.02	0.81	3.02	3.32	0.67
10	56.52	42.85	64.85	100	0.5	1	1	1	1	4.95	2.25	1.2	4.5	4.5	1.1	4.5	4.5	0.9	4.95	3.15	1.3	3.6	4.05	0.8	4.05	4.5	1.3	4.95	2.25	0.9	4.5	5.85	1	3.6	4.95	0.7	2.25	2.25	0.9	4.05	2.25	1	4.5	4.5	0.5	4.5	3.15	1.5	4.5	4.05	0.8
11	56.03	45.09	54.8	100	0.5	1	1	0	1	3.15	5.4	0.9	5.4	4.5	1.3	2.25	4.5	0.5	3.15	5.4	0.9	6.75	3.15	0.8	6.75	4.95	0.5	2.25	6.75	1.2	4.5	4.05	1.1	6.75	4.5	1.2	6.75	5.85	0.5	2.25	4.5	1.3	4.95	5.85	1	4.5	5.4	0.8	4.5	2.25	1.2
12	55.54	41.37	61.71	100	0.5	1	1	0	1	2.01	2.51	0.72	2.51	2.76	0.72	2.51	2.26	0.56	3.01	2.76	0.5	1.25	2.76	0.28	2.51	2.51	0.84	1.76	2.26	0.28	2.51	2.51	0.5	3.26	3.01	0.72	3.26	1.25	0.5	2.51	1.76	0.56	1.25	2.26	0.28	3.01	2.51	0.5	1.76	2.51	0.56
13	52.9	43.6	8.24	100	0.5	1	1	0	1	4.86	6.08	0.9	2.84	4.46	0.45	5.27	4.86	0.9	4.46	4.46	0.99	3.65	4.05	0.45	4.86	6.08	1.08	4.05	3.24	0.81	2.03	4.86	0.9	3.24	5.27	0.63	4.46	4.05	0.81	4.05	5.27	0.99	2.03	2.84	0.9	4.46	5.27	1.08	3.65	4.86	1.17
14	52.02	42.21	45.91	100	0.5	0	0	1	6	4.99	3.99	1.22	6.48	4.99	1.11	3.49	5.49	0.78	3.49	7.48	1.33	3.49	4.99	0.55	7.48	5.49	1.22	4.99	4.99	0.55	4.49	6.48	1.22	3.99	4.49	0.78	4.49	7.48	0.78	3.49	3.99	0.55	4.99	2.49	0.89	2.49	4.99	0.89	6.48	5.98	1.11
15	54.73	27.53	26.39	100	0.5	0	0	1	3	4.69	2.5	0.63	2.19	3.75	0.76	1.56	4.07	0.83	3.13	2.82	0.7	2.19	3.13	0.9	3.75	3.13	0.35	3.44	2.5	0.63	3.75	2.5	0.35	4.69	2.82	0.76	4.07	2.82	0.49	1.56	1.56	0.35	3.44	2.19	0.35	1.56	1.56	0.7	2.5	3.13	0.83
16	54.94	31.92	23.53	100	0.5	1	1	0	2	2.05	1.1	0.18	1.26	1.42	0.25	1.73	2.05	0.32	1.89	2.36	0.53	1.73	1.42	0.46	1.89	1.26	0.39	1.26	1.89	0.25	1.26	2.05	0.35	1.89	1.58	0.28	1.89	2.36	0.42	1.58	1.42	0.42	0.79	1.58	0.39	1.58	0.79	0.46	0.79	1.26	0.18
17	53.73	42.95	28.3	100	0.5	0	0	1	6	4.64	3.71	0.52	6.03	3.71	0.72	3.25	5.1	1.24	5.57	2.32	0.72	4.64	6.96	1.03	4.17	3.71	1.34	4.64	2.32	1.03	5.57	5.1	0.52	3.25	4.64	1.34	2.32	5.1	1.13	2.32	6.03	0.82	3.25	4.17	0.93	3.71	3.25	1.03	2.32	6.03	1.34
18	35.66	34.52	33.23	100	0.5	1	1	0	2	3.55	2.96	0.99	2.07	2.07	0.99	4.44	2.96	0.46	3.84	1.48	0.53	3.55	3.55	0.85	2.96	3.25	0.53	2.07	2.96	0.72	2.66	2.96	0.33	4.44	4.44	0.99	2.96	2.66	0.59	3.84	3.55	0.66	3.84	3.84	0.66	1.48	1.48	0.59	3.84	4.44	0.53
19	44.58	65.53	1.32	100	0.5	1	1	1	1	1.76	1.35	0.33	1.76	0.68	0.24	1.62	1.76	0.45	1.08	1.08	0.27	0.68	1.35	0.3	1.76	0.68	0.33	1.62	1.76	0.33	1.22	1.49	0.21	0.68	1.35	0.36	1.76	1.62	0.33	1.76	1.08	0.27	1.49	1.22	0.3	1.35	1.35	0.27	2.03	0.68	0.45
