21	3	799
1	113.0	95.0	2675	1066	0.30
2	266.0	433.0	24	36	0	12	0.23
3	257.0	469.0	59	118	0	59	0.32
4	363.0	330.0	32	64	0	32	0.33
5	158.0	453.0	99	198	0	99	0.23
6	423.0	238.0	178	267	0	89	0.18
7	363.0	368.0	78	117	0	39	0.29
8	182.0	3.0	15	30	0	15	0.42
9	332.0	420.0	55	110	0	55	0.42
10	388.0	385.0	21	42	0	21	0.24
11	188.0	69.0	184	276	0	92	0.43
12	374.0	148.0	102	153	0	51	0.18
13	296.0	322.0	20	40	0	20	0.22
14	332.0	204.0	47	94	0	47	0.24
15	432.0	250.0	72	144	0	72	0.31
16	488.0	307.0	23	46	0	23	0.22
17	46.0	351.0	86	129	0	43	0.38
18	302.0	139.0	142	213	0	71	0.13
19	23.0	126.0	176	264	0	88	0.43
20	22.0	79.0	80	160	0	80	0.37
21	81.0	442.0	116	174	0	58	0.17
