DIMENSION: 201
HORIZON: 6
SUPPLIER_COORD_COORD_STARTING LEVEL_ QUANTITY MADE AVAILABLE_COST 
1	 181.0	 341.0	 28652	 11375	 0.30
RETAILER_COORD_COORD_STARTING LEVEL_MAX LEVEL_MIN LEVEL_COST
2	 186.0	 234.0	 56	 112	 0	 0.20
3	 273.0	 386.0	 86	 172	 0	 0.19
4	 105.0	 82.0	 97	 194	 0	 0.24
5	 318.0	 410.0	 90	 135	 0	 0.22
6	 438.0	 91.0	 72	 144	 0	 0.40
7	 222.0	 279.0	 164	 246	 0	 0.45
8	 203.0	 493.0	 27	 54	 0	 0.16
9	 186.0	 129.0	 192	 288	 0	 0.17
10	 75.0	 392.0	 30	 60	 0	 0.26
11	 419.0	 235.0	 57	 114	 0	 0.24
12	 17.0	 231.0	 124	 186	 0	 0.41
13	 413.0	 67.0	 75	 150	 0	 0.20
14	 105.0	 12.0	 156	 234	 0	 0.25
15	 412.0	 152.0	 48	 72	 0	 0.16
16	 205.0	 221.0	 92	 184	 0	 0.18
17	 475.0	 389.0	 46	 92	 0	 0.44
18	 440.0	 223.0	 48	 72	 0	 0.22
19	 12.0	 44.0	 86	 129	 0	 0.23
20	 56.0	 390.0	 63	 126	 0	 0.37
21	 143.0	 184.0	 98	 147	 0	 0.38
22	 399.0	 475.0	 140	 210	 0	 0.29
23	 429.0	 132.0	 174	 261	 0	 0.32
24	 6.0	 63.0	 196	 294	 0	 0.19
25	 218.0	 331.0	 110	 165	 0	 0.44
26	 173.0	 457.0	 112	 168	 0	 0.13
27	 412.0	 91.0	 21	 42	 0	 0.37
28	 55.0	 141.0	 158	 237	 0	 0.16
29	 123.0	 230.0	 92	 138	 0	 0.36
30	 123.0	 112.0	 174	 261	 0	 0.12
31	 149.0	 71.0	 44	 66	 0	 0.27
32	 237.0	 246.0	 102	 153	 0	 0.30
33	 347.0	 338.0	 114	 171	 0	 0.30
34	 33.0	 10.0	 18	 36	 0	 0.46
