76	6	3278			
1	444	283			
2	399	136	46	0.33	1
3	17	131	115	0.42	2
4	138	146	82	0.17	3
5	347	316	163	0.17	4
6	191	305	296	0.33	5
7	30	241	196	0.4	6
8	211	194	247	0.36	1
9	267	385	228	0.1	2
10	94	353	141	0.34	3
11	402	432	285	0.13	4
12	382	167	250	0.12	5
13	433	19	85	0.23	6
14	134	372	153	0.49	1
15	446	85	140	0.34	2
16	69	174	271	0.39	3
17	251	439	282	0.26	4
18	318	222	47	0.4	5
19	474	130	40	0.16	6
20	109	436	258	0.36	1
21	54	368	97	0.49	2
22	463	152	228	0.31	3
23	111	169	221	0.47	4
24	301	310	41	0.31	5
25	433	348	253	0.5	6
26	182	313	80	0.24	1
27	272	430	288	0.19	2
28	277	497	290	0.31	3
29	415	91	233	0.24	4
30	238	128	148	0.16	5
31	22	492	172	0.22	6
32	238	40	180	0.22	1
33	94	146	227	0.36	2
34	267	414	293	0.12	3
35	82	154	211	0.12	4
36	146	146	82	0.39	5
37	102	87	259	0.31	6
38	342	412	199	0.15	1
39	256	406	261	0.14	2
40	97	452	39	0.2	3
41	438	127	100	0.38	4
42	183	91	264	0.21	5
43	289	21	242	0.13	6
44	410	329	129	0.49	1
45	401	135	154	0.21	2
46	45	175	192	0.37	3
47	190	322	67	0.5	4
48	213	23	156	0.13	5
49	207	145	136	0.23	6
50	346	226	92	0.33	1
51	129	1	38	0.41	2
52	116	378	218	0.29	3
53	275	456	277	0.4	4
54	41	306	174	0.39	5
55	52	49	213	0.43	6
56	340	299	181	0.13	1
57	358	146	194	0.29	2
58	289	27	281	0.25	3
59	138	351	179	0.11	4
60	110	2	197	0.1	5
61	43	275	58	0.43	6
62	36	153	159	0.27	1
63	329	283	74	0.15	2
64	140	261	181	0.16	3
65	74	178	42	0.28	4
66	49	482	131	0.31	5
67	172	68	161	0.49	6
68	209	175	266	0.48	1
69	209	120	279	0.28	2
70	44	241	91	0.32	3
71	30	101	139	0.16	4
72	217	51	99	0.31	5
73	489	79	265	0.19	6
74	118	367	171	0.3	1
75	179	287	294	0.4	2
76	356	236	90	0.24	3
