51	3	2033			
1	244	495			
2	66	384	108	0.2	1
3	74	85	126	0.19	2
4	433	34	183	0.24	3
5	48	25	66	0.22	1
6	161	432	180	0.4	2
7	188	61	48	0.45	3
8	469	456	45	0.16	1
9	107	28	192	0.17	2
10	465	286	81	0.26	3
11	91	65	237	0.24	1
12	314	67	198	0.41	2
13	496	33	36	0.2	3
14	340	29	99	0.25	1
15	195	340	210	0.16	2
16	255	449	234	0.18	3
17	294	206	147	0.44	1
18	108	123	297	0.22	2
19	319	212	171	0.23	3
20	491	343	192	0.37	1
21	59	243	174	0.38	2
22	285	421	180	0.29	3
23	37	306	219	0.32	1
24	196	61	105	0.19	2
25	257	202	294	0.44	3
26	298	163	207	0.13	1
27	117	106	201	0.37	2
28	350	490	192	0.16	3
29	239	46	234	0.36	1
30	41	178	183	0.12	2
31	6	133	33	0.27	3
32	126	32	183	0.3	1
33	216	304	195	0.3	2
34	254	91	255	0.46	3
35	494	178	198	0.28	1
36	450	2	186	0.15	2
37	243	217	99	0.22	3
38	411	425	189	0.2	1
39	302	119	219	0.36	2
40	108	7	99	0.35	3
41	122	351	192	0.45	1
42	463	116	153	0.22	2
43	166	244	288	0.46	3
44	175	27	66	0.15	1
45	336	154	87	0.12	2
46	297	286	204	0.46	3
47	42	493	36	0.21	1
48	270	279	39	0.26	2
49	280	44	282	0.46	3
50	221	242	54	0.28	1
51	20	88	237	0.36	2
